customer_state,total_price,total_freight
SP,5202955.05,718723.07
RJ,1824092.67,305589.31
MG,1585308.03,270853.46
RS,750304.02,135522.74
PR,683083.76,117851.68
SC,520553.34,89660.26
BA,511349.99,100156.68
DF,302603.94,50625.50
GO,294591.95,53114.98
ES,275037.31,49764.60
PE,262788.03,59449.66
CE,227254.71,48351.59
PA,178947.81,38699.30
MT,156453.53,29715.43
MA,119648.22,31523.77
MS,116812.64,19144.03
PB,115268.08,25719.73
PI,86914.08,21218.20
RN,83034.98,18860.10
AL,80314.81,15914.59
SE,58920.85,14111.47
TO,49621.74,11732.68
RO,46140.64,11417.38
AM,22356.84,5478.89
AC,15982.95,3686.75
AP,13474.30,2788.50
RR,7829.43,2235.19
