product_category_name,qty_product
cama_mesa_banho,3029
esporte_lazer,2867
moveis_decoracao,2657
beleza_saude,2444
utilidades_domesticas,2335
automotivo,1900
informatica_acessorios,1639
brinquedos,1411
relogios_presentes,1329
telefonia,1134
bebes,919
perfumaria,868
fashion_bolsas_e_acessorios,849
papelaria,849
cool_stuff,789
ferramentas_jardim,753
pet_shop,719
,610
eletronicos,517
construcao_ferramentas_construcao,400
eletrodomesticos,370
malas_acessorios,349
consoles_games,317
moveis_escritorio,309
instrumentos_musicais,289
eletroportateis,231
casa_construcao,225
livros_interesse_geral,216
fashion_calcados,173
moveis_sala,156
climatizacao,124
livros_tecnicos,123
telefonia_fixa,116
casa_conforto,111
market_place,104
alimentos_bebidas,104
fashion_roupa_masculina,95
moveis_cozinha_area_de_servico_jantar_e_jardim,94
sinalizacao_e_seguranca,93
construcao_ferramentas_seguranca,91
eletrodomesticos_2,90
construcao_ferramentas_jardim,88
alimentos,82
bebidas,81
construcao_ferramentas_iluminacao,78
agro_industria_e_comercio,74
industria_comercio_e_negocios,68
artigos_de_natal,65
audio,58
artes,55
fashion_underwear_e_moda_praia,53
dvds_blu_ray,48
moveis_quarto,45
construcao_ferramentas_ferramentas,39
livros_importados,31
portateis_casa_forno_e_cafe,31
pcs,30
cine_foto,28
fashion_roupa_feminina,27
musica,27
artigos_de_festas,26
artes_e_artesanato,19
fashion_esporte,19
flores,14
fraldas_higiene,12
la_cuisine,10
moveis_colchao_e_estofado,10
portateis_cozinha_e_preparadores_de_alimentos,10
tablets_impressao_imagem,9
fashion_roupa_infanto_juvenil,5
casa_conforto_2,5
pc_gamer,3
seguros_e_servicos,2
cds_dvds_musicais,1
