product_category_name,qty_product,perc_category
cama_mesa_banho,11115,9.867
beleza_saude,9670,8.584
esporte_lazer,8641,7.671
moveis_decoracao,8334,7.398
informatica_acessorios,7827,6.948
utilidades_domesticas,6964,6.182
relogios_presentes,5991,5.318
telefonia,4545,4.035
ferramentas_jardim,4347,3.859
automotivo,4235,3.759
brinquedos,4117,3.655
cool_stuff,3796,3.370
perfumaria,3419,3.035
bebes,3065,2.721
eletronicos,2767,2.456
papelaria,2517,2.234
fashion_bolsas_e_acessorios,2031,1.803
pet_shop,1947,1.728
moveis_escritorio,1691,1.501
,1603,1.423
consoles_games,1137,1.009
malas_acessorios,1092,0.969
construcao_ferramentas_construcao,929,0.825
eletrodomesticos,771,0.684
instrumentos_musicais,680,0.604
eletroportateis,679,0.603
casa_construcao,604,0.536
livros_interesse_geral,553,0.491
alimentos,510,0.453
moveis_sala,503,0.447
casa_conforto,434,0.385
bebidas,379,0.336
audio,364,0.323
market_place,311,0.276
construcao_ferramentas_iluminacao,304,0.270
climatizacao,297,0.264
moveis_cozinha_area_de_servico_jantar_e_jardim,281,0.249
alimentos_bebidas,278,0.247
industria_comercio_e_negocios,268,0.238
livros_tecnicos,267,0.237
telefonia_fixa,264,0.234
fashion_calcados,262,0.233
construcao_ferramentas_jardim,238,0.211
eletrodomesticos_2,238,0.211
agro_industria_e_comercio,212,0.188
artes,209,0.186
pcs,203,0.180
sinalizacao_e_seguranca,199,0.177
construcao_ferramentas_seguranca,194,0.172
artigos_de_natal,153,0.136
fashion_roupa_masculina,132,0.117
fashion_underwear_e_moda_praia,131,0.116
moveis_quarto,109,0.097
construcao_ferramentas_ferramentas,103,0.091
tablets_impressao_imagem,83,0.074
portateis_casa_forno_e_cafe,76,0.067
cine_foto,72,0.064
dvds_blu_ray,64,0.057
livros_importados,60,0.053
fashion_roupa_feminina,48,0.043
artigos_de_festas,43,0.038
fraldas_higiene,39,0.035
moveis_colchao_e_estofado,38,0.034
musica,38,0.034
flores,33,0.029
casa_conforto_2,30,0.027
fashion_esporte,30,0.027
artes_e_artesanato,24,0.021
portateis_cozinha_e_preparadores_de_alimentos,15,0.013
la_cuisine,14,0.012
cds_dvds_musicais,14,0.012
pc_gamer,9,0.008
fashion_roupa_infanto_juvenil,8,0.007
seguros_e_servicos,2,0.002
